# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 315         3.998       51.447      0.00        Hansweert   
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,HH,    T
  315,20150106,   10,     
  315,20150106,   11,     
  315,20150106,   12,     
  315,20150106,   13,     
  315,20150106,   14,     
  315,20150106,   15,     
  315,20150106,   16,     
  315,20150106,   17,     
  315,20150106,   18,     
  315,20150106,   19,     
  315,20150106,   20,     
  315,20150106,   21,     
  315,20150106,   22,     
  315,20150106,   23,     
  315,20150106,   24,     
  315,20150107,    1,     
  315,20150107,    2,     
  315,20150107,    3,     
  315,20150107,    4,     
  315,20150107,    5,     
  315,20150107,    6,     
  315,20150107,    7,     
  315,20150107,    8,     
  315,20150107,    9,     
  315,20150107,   10,     
  315,20150107,   11,     
  315,20150107,   12,     
  315,20150107,   13,     
  315,20150107,   14,     
  315,20150107,   15,     
  315,20150107,   16,     
  315,20150107,   17,     
  315,20150107,   18,     
  315,20150107,   19,     
  315,20150107,   20,     
  315,20150107,   21,     
  315,20150107,   22,     
  315,20150107,   23,     
  315,20150107,   24,     
  315,20150108,    1,     
  315,20150108,    2,     
  315,20150108,    3,     
  315,20150108,    4,     
  315,20150108,    5,     
  315,20150108,    6,     
  315,20150108,    7,     
  315,20150108,    8,     
  315,20150108,    9,     
  315,20150108,   10,     
  315,20150108,   11,     
  315,20150108,   12,     
  315,20150108,   13,     
  315,20150108,   14,     
  315,20150108,   15,     
  315,20150108,   16,     
  315,20150108,   17,     
  315,20150108,   18,     
  315,20150108,   19,     
  315,20150108,   20,     
  315,20150108,   21,     
  315,20150108,   22,     
  315,20150108,   23,     
  315,20150108,   24,     
  315,20150109,    1,     
  315,20150109,    2,     
  315,20150109,    3,     
  315,20150109,    4,     
  315,20150109,    5,     
  315,20150109,    6,     
  315,20150109,    7,     
  315,20150109,    8,     
  315,20150109,    9,     
  315,20150109,   10,     
  315,20150109,   11,     
  315,20150109,   12,     
  315,20150109,   13,     
  315,20150109,   14,     
  315,20150109,   15,     
  315,20150109,   16,     
  315,20150109,   17,     
  315,20150109,   18,     
  315,20150109,   19,     
  315,20150109,   20,     
  315,20150109,   21,     
  315,20150109,   22,     
  315,20150109,   23,     
  315,20150109,   24,     
  315,20150110,    1,     
  315,20150110,    2,     
  315,20150110,    3,     
  315,20150110,    4,     
  315,20150110,    5,     
  315,20150110,    6,     
  315,20150110,    7,     
  315,20150110,    8,     
  315,20150110,    9,     
  315,20150110,   10,     
  315,20150110,   11,     
  315,20150110,   12,     
  315,20150110,   13,     
  315,20150110,   14,     
  315,20150110,   15,     
  315,20150110,   16,     
  315,20150110,   17,     
  315,20150110,   18,     
  315,20150110,   19,     
  315,20150110,   20,     
  315,20150110,   21,     
  315,20150110,   22,     
  315,20150110,   23,     
  315,20150110,   24,     
  315,20150111,    1,     
  315,20150111,    2,     
  315,20150111,    3,     
  315,20150111,    4,     
  315,20150111,    5,     
  315,20150111,    6,     
  315,20150111,    7,     
  315,20150111,    8,     
  315,20150111,    9,     
  315,20150111,   10,     
  315,20150111,   11,     
  315,20150111,   12,     
  315,20150111,   13,     
  315,20150111,   14,     
  315,20150111,   15,     
  315,20150111,   16,     
  315,20150111,   17,     
  315,20150111,   18,     
  315,20150111,   19,     
  315,20150111,   20,     
  315,20150111,   21,     
  315,20150111,   22,     
  315,20150111,   23,     
  315,20150111,   24,     
  315,20150112,    1,     
  315,20150112,    2,     
  315,20150112,    3,     
  315,20150112,    4,     
  315,20150112,    5,     
  315,20150112,    6,     
  315,20150112,    7,     
  315,20150112,    8,     
  315,20150112,    9,     
  315,20150112,   10,     
  315,20150112,   11,     
  315,20150112,   12,     
  315,20150112,   13,     
  315,20150112,   14,     
  315,20150112,   15,     
  315,20150112,   16,     
  315,20150112,   17,     
  315,20150112,   18,     
  315,20150112,   19,     
  315,20150112,   20,     
  315,20150112,   21,     
  315,20150112,   22,     
  315,20150112,   23,     
  315,20150112,   24,     
  315,20150113,    1,     
  315,20150113,    2,     
  315,20150113,    3,     
  315,20150113,    4,     
  315,20150113,    5,     
  315,20150113,    6,     
  315,20150113,    7,     
  315,20150113,    8,     
  315,20150113,    9,     
  315,20150113,   10,     
  315,20150113,   11,     
  315,20150113,   12,     
  315,20150113,   13,     
  315,20150113,   14,     
  315,20150113,   15,     
  315,20150113,   16,     
  315,20150113,   17,     
  315,20150113,   18,     
  315,20150113,   19,     
  315,20150113,   20,     
  315,20150113,   21,     
  315,20150113,   22,     
  315,20150113,   23,     
  315,20150113,   24,     
  315,20150114,    1,     
  315,20150114,    2,     
  315,20150114,    3,     
  315,20150114,    4,     
  315,20150114,    5,     
  315,20150114,    6,     
  315,20150114,    7,     
  315,20150114,    8,     
  315,20150114,    9,     
  315,20150114,   10,     
  315,20150114,   11,     
  315,20150114,   12,     
  315,20150114,   13,     
  315,20150114,   14,     
  315,20150114,   15,     
  315,20150114,   16,     
  315,20150114,   17,     
  315,20150114,   18,     
  315,20150114,   19,     
  315,20150114,   20,     
  315,20150114,   21,     
  315,20150114,   22,     
  315,20150114,   23,     
  315,20150114,   24,     
  315,20150115,    1,     
  315,20150115,    2,     
  315,20150115,    3,     
  315,20150115,    4,     
  315,20150115,    5,     
  315,20150115,    6,     
  315,20150115,    7,     
  315,20150115,    8,     
  315,20150115,    9,     
  315,20150115,   10,     
  315,20150115,   11,     
  315,20150115,   12,     
  315,20150115,   13,     
  315,20150115,   14,     
  315,20150115,   15,     
  315,20150115,   16,     
  315,20150115,   17,     
  315,20150115,   18,     
  315,20150115,   19,     
  315,20150115,   20,     
  315,20150115,   21,     
  315,20150115,   22,     
  315,20150115,   23,     
  315,20150115,   24,     
  315,20150116,    1,     
  315,20150116,    2,     
  315,20150116,    3,     
  315,20150116,    4,     
  315,20150116,    5,     
  315,20150116,    6,     
  315,20150116,    7,     
  315,20150116,    8,     
  315,20150116,    9,     
  315,20150116,   10,     
  315,20150116,   11,     
  315,20150116,   12,     
  315,20150116,   13,     
  315,20150116,   14,     
  315,20150116,   15,     
  315,20150116,   16,     
  315,20150116,   17,     
  315,20150116,   18,     
  315,20150116,   19,     
  315,20150116,   20,     
  315,20150116,   21,     
  315,20150116,   22,     
  315,20150116,   23,     
  315,20150116,   24,     
  315,20150117,    1,     
  315,20150117,    2,     
  315,20150117,    3,     
  315,20150117,    4,     
  315,20150117,    5,     
  315,20150117,    6,     
  315,20150117,    7,     
  315,20150117,    8,     
  315,20150117,    9,     
  315,20150117,   10,     
  315,20150117,   11,     
  315,20150117,   12,     
  315,20150117,   13,     
  315,20150117,   14,     
  315,20150117,   15,     
  315,20150117,   16,     
  315,20150117,   17,     
  315,20150117,   18,     
  315,20150117,   19,     
  315,20150117,   20,     
  315,20150117,   21,     
  315,20150117,   22,     
  315,20150117,   23,     
  315,20150117,   24,     
  315,20150118,    1,     
  315,20150118,    2,     
  315,20150118,    3,     
  315,20150118,    4,     
  315,20150118,    5,     
  315,20150118,    6,     
  315,20150118,    7,     
  315,20150118,    8,     
  315,20150118,    9,     
  315,20150118,   10,     
  315,20150118,   11,     
  315,20150118,   12,     
  315,20150118,   13,     
  315,20150118,   14,     
  315,20150118,   15,     
  315,20150118,   16,     
  315,20150118,   17,     
  315,20150118,   18,     
  315,20150118,   19,     
  315,20150118,   20,     
  315,20150118,   21,     
  315,20150118,   22,     
  315,20150118,   23,     
  315,20150118,   24,     
  315,20150119,    1,     
  315,20150119,    2,     
  315,20150119,    3,     
  315,20150119,    4,     
  315,20150119,    5,     
  315,20150119,    6,     
  315,20150119,    7,     
  315,20150119,    8,     
  315,20150119,    9,     
  315,20150119,   10,     
  315,20150119,   11,     
  315,20150119,   12,     
  315,20150119,   13,     
  315,20150119,   14,     
  315,20150119,   15,     
  315,20150119,   16,     
  315,20150119,   17,     
  315,20150119,   18,     
  315,20150119,   19,     
  315,20150119,   20,     
  315,20150119,   21,     
  315,20150119,   22,     
  315,20150119,   23,     
  315,20150119,   24,     
  315,20150120,    1,     
  315,20150120,    2,     
  315,20150120,    3,     
  315,20150120,    4,     
  315,20150120,    5,     
  315,20150120,    6,     
  315,20150120,    7,     
  315,20150120,    8,     
  315,20150120,    9,     
  315,20150120,   10,     
  315,20150120,   11,     
  315,20150120,   12,     
  315,20150120,   13,     
  315,20150120,   14,     
  315,20150120,   15,     
  315,20150120,   16,     
  315,20150120,   17,     
  315,20150120,   18,     
  315,20150120,   19,     
  315,20150120,   20,     
  315,20150120,   21,     
  315,20150120,   22,     
  315,20150120,   23,     
  315,20150120,   24,     
  315,20150121,    1,     
  315,20150121,    2,     
  315,20150121,    3,     
  315,20150121,    4,     
  315,20150121,    5,     
  315,20150121,    6,     
  315,20150121,    7,     
  315,20150121,    8,     
  315,20150121,    9,     
  315,20150121,   10,     
  315,20150121,   11,     
  315,20150121,   12,     
  315,20150121,   13,     
  315,20150121,   14,     
  315,20150121,   15,     
  315,20150121,   16,     
  315,20150121,   17,     
  315,20150121,   18,     
  315,20150121,   19,     
  315,20150121,   20,     
  315,20150121,   21,     
  315,20150121,   22,     
  315,20150121,   23,     
  315,20150121,   24,     
  315,20150122,    1,     
  315,20150122,    2,     
  315,20150122,    3,     
  315,20150122,    4,     
  315,20150122,    5,     
  315,20150122,    6,     
  315,20150122,    7,     
  315,20150122,    8,     
  315,20150122,    9,     
  315,20150122,   10,     
  315,20150122,   11,     
  315,20150122,   12,     
  315,20150122,   13,     
  315,20150122,   14,     
  315,20150122,   15,     
  315,20150122,   16,     
  315,20150122,   17,     
  315,20150122,   18,     
  315,20150122,   19,     
  315,20150122,   20,     
  315,20150122,   21,     
  315,20150122,   22,     
  315,20150122,   23,     
  315,20150122,   24,     
  315,20150123,    1,     
  315,20150123,    2,     
  315,20150123,    3,     
  315,20150123,    4,     
  315,20150123,    5,     
  315,20150123,    6,     
  315,20150123,    7,     
  315,20150123,    8,     
  315,20150123,    9,     
  315,20150123,   10,     
  315,20150123,   11,     
  315,20150123,   12,     
  315,20150123,   13,     
  315,20150123,   14,     
  315,20150123,   15,     
  315,20150123,   16,     
  315,20150123,   17,     
  315,20150123,   18,     
  315,20150123,   19,     
  315,20150123,   20,     
  315,20150123,   21,     
  315,20150123,   22,     
  315,20150123,   23,     
  315,20150123,   24,     
  315,20150124,    1,     
  315,20150124,    2,     
  315,20150124,    3,     
  315,20150124,    4,     
  315,20150124,    5,     
  315,20150124,    6,     
  315,20150124,    7,     
  315,20150124,    8,     
  315,20150124,    9,     
  315,20150124,   10,     
  315,20150124,   11,     
  315,20150124,   12,     
  315,20150124,   13,     
  315,20150124,   14,     
  315,20150124,   15,     
  315,20150124,   16,     
  315,20150124,   17,     
  315,20150124,   18,     
  315,20150124,   19,     
  315,20150124,   20,     
  315,20150124,   21,     
  315,20150124,   22,     
  315,20150124,   23,     
  315,20150124,   24,     
  315,20150125,    1,     
  315,20150125,    2,     
  315,20150125,    3,     
  315,20150125,    4,     
  315,20150125,    5,     
  315,20150125,    6,     
  315,20150125,    7,     
  315,20150125,    8,     
  315,20150125,    9,     
  315,20150125,   10,     
  315,20150125,   11,     
  315,20150125,   12,     
  315,20150125,   13,     
  315,20150125,   14,     
  315,20150125,   15,     
  315,20150125,   16,     
  315,20150125,   17,     
  315,20150125,   18,     
  315,20150125,   19,     
  315,20150125,   20,     
  315,20150125,   21,     
  315,20150125,   22,     
  315,20150125,   23,     
  315,20150125,   24,     
  315,20150126,    1,     
  315,20150126,    2,     
  315,20150126,    3,     
  315,20150126,    4,     
  315,20150126,    5,     
  315,20150126,    6,     
  315,20150126,    7,     
  315,20150126,    8,     
  315,20150126,    9,     
  315,20150126,   10,     
  315,20150126,   11,     
  315,20150126,   12,     
  315,20150126,   13,     
  315,20150126,   14,     
  315,20150126,   15,     
  315,20150126,   16,     
  315,20150126,   17,     
  315,20150126,   18,     
  315,20150126,   19,     
  315,20150126,   20,     
  315,20150126,   21,     
  315,20150126,   22,     
  315,20150126,   23,     
  315,20150126,   24,     
  315,20150127,    1,     
  315,20150127,    2,     
  315,20150127,    3,     
  315,20150127,    4,     
  315,20150127,    5,     
  315,20150127,    6,     
  315,20150127,    7,     
  315,20150127,    8,     
  315,20150127,    9,     
  315,20150127,   10,     
  315,20150127,   11,     
  315,20150127,   12,     
  315,20150127,   13,     
  315,20150127,   14,     
  315,20150127,   15,     
  315,20150127,   16,     
  315,20150127,   17,     
  315,20150127,   18,     
  315,20150127,   19,     
  315,20150127,   20,     
  315,20150127,   21,     
  315,20150127,   22,     
  315,20150127,   23,     
  315,20150127,   24,     
  315,20150128,    1,     
  315,20150128,    2,     
  315,20150128,    3,     
  315,20150128,    4,     
  315,20150128,    5,     
  315,20150128,    6,     
  315,20150128,    7,     
  315,20150128,    8,     
  315,20150128,    9,     
  315,20150128,   10,     
  315,20150128,   11,     
  315,20150128,   12,     
  315,20150128,   13,     
  315,20150128,   14,     
  315,20150128,   15,     
  315,20150128,   16,     
  315,20150128,   17,     
  315,20150128,   18,     
  315,20150128,   19,     
  315,20150128,   20,     
  315,20150128,   21,     
  315,20150128,   22,     
  315,20150128,   23,     
  315,20150128,   24,     
  315,20150129,    1,     
  315,20150129,    2,     
  315,20150129,    3,     
  315,20150129,    4,     
  315,20150129,    5,     
  315,20150129,    6,     
  315,20150129,    7,     
  315,20150129,    8,     
  315,20150129,    9,     
  315,20150129,   10,     
  315,20150129,   11,     
  315,20150129,   12,     
  315,20150129,   13,     
  315,20150129,   14,     
  315,20150129,   15,     
  315,20150129,   16,     
  315,20150129,   17,     
  315,20150129,   18,     
  315,20150129,   19,     
  315,20150129,   20,     
  315,20150129,   21,     
  315,20150129,   22,     
  315,20150129,   23,     
  315,20150129,   24,     
  315,20150130,    1,     
  315,20150130,    2,     
  315,20150130,    3,     
  315,20150130,    4,     
  315,20150130,    5,     
  315,20150130,    6,     
  315,20150130,    7,     
  315,20150130,    8,     
  315,20150130,    9,     
  315,20150130,   10,     
  315,20150130,   11,     
  315,20150130,   12,     
  315,20150130,   13,     
  315,20150130,   14,     
  315,20150130,   15,     
  315,20150130,   16,     
  315,20150130,   17,     
  315,20150130,   18,     
  315,20150130,   19,     
  315,20150130,   20,     
  315,20150130,   21,     
  315,20150130,   22,     
  315,20150130,   23,     
  315,20150130,   24,     
  315,20150131,    1,     
  315,20150131,    2,     
  315,20150131,    3,     
  315,20150131,    4,     
  315,20150131,    5,     
  315,20150131,    6,     
  315,20150131,    7,     
  315,20150131,    8,     
  315,20150131,    9,     
  315,20150131,   10,     
  315,20150131,   11,     
  315,20150131,   12,     
  315,20150131,   13,     
  315,20150131,   14,     
  315,20150131,   15,     
  315,20150131,   16,     
  315,20150131,   17,     
  315,20150131,   18,     
  315,20150131,   19,     
  315,20150131,   20,     
  315,20150131,   21,     
  315,20150131,   22,     
  315,20150131,   23,     
  315,20150131,   24,     
  315,20150201,    1,     
  315,20150201,    2,     
  315,20150201,    3,     
  315,20150201,    4,     
  315,20150201,    5,     
  315,20150201,    6,     
  315,20150201,    7,     
  315,20150201,    8,     
  315,20150201,    9,     
  315,20150201,   10,     
  315,20150201,   11,     
  315,20150201,   12,     
  315,20150201,   13,     
  315,20150201,   14,     
  315,20150201,   15,     
  315,20150201,   16,     
  315,20150201,   17,     
  315,20150201,   18,     
  315,20150201,   19,     
  315,20150201,   20,     
  315,20150201,   21,     
  315,20150201,   22,     
  315,20150201,   23,     
  315,20150201,   24,     
  315,20150202,    1,     
  315,20150202,    2,     
  315,20150202,    3,     
  315,20150202,    4,     
  315,20150202,    5,     
  315,20150202,    6,     
  315,20150202,    7,     
  315,20150202,    8,     
  315,20150202,    9,     
  315,20150202,   10,     
  315,20150202,   11,     
  315,20150202,   12,     
  315,20150202,   13,     
  315,20150202,   14,     
  315,20150202,   15,     
  315,20150202,   16,     
  315,20150202,   17,     
  315,20150202,   18,     
  315,20150202,   19,     
  315,20150202,   20,     
  315,20150202,   21,     
  315,20150202,   22,     
  315,20150202,   23,     
  315,20150202,   24,     
  315,20150203,    1,     
  315,20150203,    2,     
  315,20150203,    3,     
  315,20150203,    4,     
  315,20150203,    5,     
  315,20150203,    6,     
  315,20150203,    7,     
  315,20150203,    8,     
  315,20150203,    9,     
  315,20150203,   10,     
  315,20150203,   11,     
  315,20150203,   12,     
  315,20150203,   13,     
  315,20150203,   14,     
  315,20150203,   15,     
  315,20150203,   16,     
  315,20150203,   17,     
  315,20150203,   18,     
  315,20150203,   19,     
  315,20150203,   20,     
  315,20150203,   21,     
  315,20150203,   22,     
  315,20150203,   23,     
  315,20150203,   24,     
  315,20150204,    1,     
  315,20150204,    2,     
  315,20150204,    3,     
  315,20150204,    4,     
  315,20150204,    5,     
  315,20150204,    6,     
  315,20150204,    7,     
  315,20150204,    8,     
  315,20150204,    9,     
  315,20150204,   10,     
  315,20150204,   11,     
  315,20150204,   12,     
  315,20150204,   13,     
  315,20150204,   14,     
  315,20150204,   15,     
  315,20150204,   16,     
  315,20150204,   17,     
  315,20150204,   18,     
  315,20150204,   19,     
  315,20150204,   20,     
  315,20150204,   21,     
  315,20150204,   22,     
  315,20150204,   23,     
  315,20150204,   24,     
  315,20150205,    1,     
  315,20150205,    2,     
  315,20150205,    3,     
  315,20150205,    4,     
  315,20150205,    5,     
  315,20150205,    6,     
  315,20150205,    7,     
  315,20150205,    8,     
  315,20150205,    9,     
  315,20150205,   10,     
  315,20150205,   11,     
  315,20150205,   12,     
  315,20150205,   13,     
  315,20150205,   14,     
  315,20150205,   15,     
  315,20150205,   16,     
  315,20150205,   17,     
  315,20150205,   18,     
  315,20150205,   19,     
  315,20150205,   20,     
  315,20150205,   21,     
  315,20150205,   22,     
  315,20150205,   23,     
  315,20150205,   24,     
  315,20150206,    1,     
  315,20150206,    2,     
  315,20150206,    3,     
  315,20150206,    4,     
  315,20150206,    5,     
  315,20150206,    6,     
  315,20150206,    7,     
  315,20150206,    8,     
  315,20150206,    9,     
  315,20150206,   10,     
  315,20150206,   11,     
  315,20150206,   12,     
  315,20150206,   13,     
  315,20150206,   14,     
  315,20150206,   15,     
  315,20150206,   16,     
  315,20150206,   17,     
  315,20150206,   18,     
  315,20150206,   19,     
  315,20150206,   20,     
  315,20150206,   21,     
  315,20150206,   22,     
  315,20150206,   23,     
  315,20150206,   24,     
  315,20150207,    1,     
  315,20150207,    2,     
  315,20150207,    3,     
  315,20150207,    4,     
  315,20150207,    5,     
  315,20150207,    6,     
  315,20150207,    7,     
  315,20150207,    8,     
  315,20150207,    9,     
  315,20150207,   10,     
  315,20150207,   11,     
  315,20150207,   12,     
  315,20150207,   13,     
  315,20150207,   14,     
  315,20150207,   15,     
  315,20150207,   16,     
  315,20150207,   17,     
  315,20150207,   18,     
  315,20150207,   19,     
  315,20150207,   20,     
  315,20150207,   21,     
  315,20150207,   22,     
  315,20150207,   23,     
  315,20150207,   24,     
  315,20150208,    1,     
  315,20150208,    2,     
  315,20150208,    3,     
  315,20150208,    4,     
  315,20150208,    5,     
  315,20150208,    6,     
  315,20150208,    7,     
  315,20150208,    8,     
  315,20150208,    9,     
  315,20150208,   10,     
  315,20150208,   11,     
  315,20150208,   12,     
  315,20150208,   13,     
  315,20150208,   14,     
  315,20150208,   15,     
  315,20150208,   16,     
  315,20150208,   17,     
  315,20150208,   18,     
  315,20150208,   19,     
  315,20150208,   20,     
  315,20150208,   21,     
  315,20150208,   22,     
  315,20150208,   23,     
  315,20150208,   24,     
  315,20150209,    1,     
  315,20150209,    2,     
  315,20150209,    3,     
  315,20150209,    4,     
  315,20150209,    5,     
  315,20150209,    6,     
  315,20150209,    7,     
  315,20150209,    8,     
  315,20150209,    9,     
  315,20150209,   10,     
  315,20150209,   11,     
  315,20150209,   12,     
  315,20150209,   13,     
  315,20150209,   14,     
  315,20150209,   15,     
  315,20150209,   16,     
  315,20150209,   17,     
  315,20150209,   18,     
  315,20150209,   19,     
  315,20150209,   20,     
  315,20150209,   21,     
  315,20150209,   22,     
  315,20150209,   23,     
  315,20150209,   24,     
  315,20150210,    1,     
  315,20150210,    2,     
  315,20150210,    3,     
  315,20150210,    4,     
  315,20150210,    5,     
  315,20150210,    6,     
  315,20150210,    7,     
  315,20150210,    8,     
  315,20150210,    9,     
  315,20150210,   10,     
  315,20150210,   11,     
  315,20150210,   12,     
  315,20150210,   13,     
  315,20150210,   14,     
  315,20150210,   15,     
  315,20150210,   16,     
  315,20150210,   17,     
  315,20150210,   18,     
  315,20150210,   19,     
  315,20150210,   20,     
  315,20150210,   21,     
  315,20150210,   22,     
  315,20150210,   23,     
  315,20150210,   24,     
  315,20150211,    1,     
  315,20150211,    2,     
  315,20150211,    3,     
  315,20150211,    4,     
  315,20150211,    5,     
  315,20150211,    6,     
  315,20150211,    7,     
  315,20150211,    8,     
  315,20150211,    9,     
  315,20150211,   10,     
  315,20150211,   11,     
  315,20150211,   12,     
  315,20150211,   13,     
  315,20150211,   14,     
  315,20150211,   15,     
  315,20150211,   16,     
  315,20150211,   17,     
  315,20150211,   18,     
  315,20150211,   19,     
  315,20150211,   20,     
  315,20150211,   21,     
  315,20150211,   22,     
  315,20150211,   23,     
  315,20150211,   24,     
  315,20150212,    1,     
  315,20150212,    2,     
  315,20150212,    3,     
  315,20150212,    4,     
  315,20150212,    5,     
  315,20150212,    6,     
  315,20150212,    7,     
  315,20150212,    8,     
  315,20150212,    9,     
  315,20150212,   10,     
  315,20150212,   11,     
  315,20150212,   12,     
  315,20150212,   13,     
  315,20150212,   14,     
  315,20150212,   15,     
  315,20150212,   16,     
  315,20150212,   17,     
  315,20150212,   18,     
  315,20150212,   19,     
  315,20150212,   20,     
  315,20150212,   21,     
  315,20150212,   22,     
  315,20150212,   23,     
  315,20150212,   24,     
  315,20150213,    1,     
  315,20150213,    2,     
  315,20150213,    3,     
  315,20150213,    4,     
  315,20150213,    5,     
  315,20150213,    6,     
  315,20150213,    7,     
  315,20150213,    8,     
  315,20150213,    9,     
  315,20150213,   10,     
  315,20150213,   11,     
  315,20150213,   12,     
  315,20150213,   13,     
  315,20150213,   14,     
  315,20150213,   15,     
  315,20150213,   16,     
  315,20150213,   17,     
  315,20150213,   18,     
